system:index,AreaHa,Categoria,DataConcl,DataInici,Fonte,InstExecu,InstFinan,InstGest,MetComb,MetPrinc,Monitora,Motivacao,NmProjeto,Privacidad,ProjAtivo,Projeto,TipoArea,class_area_ha,class_id,class_year,index,.geo
0_0_0,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.9943033504471124,7,1985,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_0,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.16130288502412682,2,1986,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_1_1,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.8330004654229856,7,1986,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_0,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.16130288502412682,2,1987,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_1,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.655058273566751,4,1987,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_2_2,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.1779421918562347,7,1987,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_0,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.16130288502412682,2,1988,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_1,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.6771312633559284,4,1988,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_3_2,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.15586920206705732,7,1988,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_0,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.8384341483800553,4,1989,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_4_1,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.15586920206705732,7,1989,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_0,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.8384341483800553,4,1990,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_5_1,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.15586920206705732,7,1990,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_0,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.8384341483800553,4,1991,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
0_6_1,0.995279879885,restauracao,31/05/2021,31/01/2021,Cooperagrofamiliar,Cooperativa Agropecuária dos Produtores Familiares de Niquelândia,CEPF/IEB,Não identificado,Não identificado,sistemas agroflorestais SAFs,Não identificado,outros objetivos,"Food Products from the Forests in the Cerrado, Brazil",publico,nao,sim,outros,0.15586920206705732,7,1991,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
